date,population,admission,release
2020-03-01,119704.39605854203,2485.6456222441693,2045.3112042898933
2020-03-02,119865.6535534194,2204.4020325005795,4040.7765542552434
2020-03-03,119073.9723788581,3250.541325639873,3644.905280542506
2020-03-04,118762.02501737814,3322.452715442655,3054.7949726597544
2020-03-05,118712.43927014602,3004.7568444752533,3868.9381099146567
2020-03-06,118467.80014883704,3624.7124339837837,3560.565770979083
2020-03-07,118751.00498177635,3845.4122705850905,1642.106006669318
2020-03-08,119385.16969125888,2277.14571615187,1880.7848661163225
2020-03-09,119537.25879590274,2043.1824385021002,4023.5762693136085
2020-03-10,118753.60732962325,3342.508711080096,3493.2303259609835
2020-03-11,118592.09020192185,3330.3606341570194,3965.341637063674
2020-03-12,117996.7565717574,3371.9390413819783,3394.8671770409383
2020-03-13,117767.86931928933,3168.5799245728613,3534.8804665626612
2020-03-14,117399.90634981178,3166.4174970851327,1640.3980489802432
2020-03-15,118389.13532172622,2125.972167723957,1915.5044025714756
2020-03-16,118321.12809062914,1847.4971714743983,4640.714547499012
2020-03-17,115861.69332330016,2183.694635242514,4231.99461996278
2020-03-18,113649.6933385799,2019.994635242514,3752.8871587964954
2020-03-19,111633.25574245147,1738.3963413795143,3613.7863184603607
2020-03-20,109571.98481298963,1552.515388998562,3352.271166945209
2020-03-21,107661.8805501945,1442.1669041500772,1176.6100558340984
2020-03-22,107561.59345911654,1075.4229647561378,1147.053906101478
2020-03-23,107268.67535199581,853.6357989807367,3257.1605551963653
2020-03-24,105220.07542669326,1211.4937535261913,3098.0417848893567
2020-03-25,103409.46072866343,1292.0937535261912,2656.440136537708
2020-03-26,101837.74621378376,1085.2256216580595,2330.1480730456447
2020-03-27,100697.85233382473,1192.1684788009165,2244.3956920932637
2020-03-28,99574.12512053244,1121.5851454675833,809.1113486589204
2020-03-29,99783.20093754308,1021.8760545584925,904.3426617902337
2020-03-30,99758.24342122045,879.7184788009166,2163.787106234678
2020-03-31,98664.6859048978,1071.6184788009166,2067.8450772491706
2020-04-01,97672.85815910653,1078.2105681728972,2303.774425075257
2020-04-02,96483.75263553752,1115.6689015062307,2063.2149012657337
2020-04-03,95635.18084212723,1097.156004680834,1962.6192122325447
2020-04-04,94663.71510932298,992.1383279131571,844.7151718285046
2020-04-05,94665.47159874099,846.4716612464904,814.3485051618379
2020-04-06,94627.96142149229,776.838327913157,1855.9526718285044
2020-04-07,93778.03457757697,1008.4633279131571,1752.3573435456763
2020-04-08,93083.64056194444,1051.2613866862157,1706.782545231765
2020-04-09,92456.29877392312,1068.2340551143727,1931.964366181006
2020-04-10,91655.0668180125,1310.2324102703917,1337.838852805492
2020-04-11,91573.90689562392,1257.5122637502454,649.3382365236257
2020-04-12,91904.10060779523,979.5319486949304,664.3541456145351
2020-04-13,92071.13901693624,831.2502783327723,1835.9817324585854
2020-04-14,91262.4433536456,1023.5019782588624,1643.9476415494948
2020-04-15,90714.54011459742,1097.4027358346198,1602.9860473465963
2020-04-16,90193.9582523608,1078.9875184433156,1641.8048507653991
2020-04-17,89703.50534311561,1152.1852748535719,1585.346517432066
2020-04-18,89329.17743387046,1209.4769415202386,737.1229063209548
2020-04-19,89610.33285795862,1018.7783304091274,772.3729063209547
2020-04-20,89726.07161538015,883.944997075794,1674.5616128846614
2020-04-21,89317.66478078107,1268.6548995606965,1585.0675714597378
2020-04-22,88998.72732165945,1265.7967790047824,1572.2817850239512
2020-04-23,88726.55934305729,1223.020751946541,1514.992896135063
